act_id,desc,duration,cost,es,ls,ef,lf,prev_act_id1,...,prev_act_idN
PertVertex = Element: START  Out Vertices: [A1]        Duration: 0      Cost: 0     | ES: 0      EF: 0      LS: 0      LF: 0    A1,
PertVertex = Element: END    Out Vertices: []          Duration: 0      Cost: 0     | ES: 156    EF: 156    LS: 156    LF: 156  
PertVertex = Element: A1     Out Vertices: [A10, A32, A98, A11, A34, A27, A768, A17, A835, A118, A144, A2, A3, A5, A6, A191, A8]  Duration: 1      Cost: 0     | ES: 0      EF: 1      LS: 0      LF: 1    A2,A3,A5,A6,A8,A10,A11,A17,A27,A32,A34,A98,A118,A144,A191,A768,A835,
PertVertex = Element: A2     Out Vertices: [A21, A56, A14, A58, A15, A16, A146, A254, A142, A176, A3, A4, A5, A6, A7, A9]  Duration: 2      Cost: 5536  | ES: 1      EF: 3      LS: 1      LF: 3    A3,A4,A5,A6,A7,A9,A14,A15,A16,A21,A56,A58,A142,A146,A176,A254,
PertVertex = Element: A3     Out Vertices: [A21, A89, A79, A5, A59, A7, A39, A835, A9, A18, A212, A211]  Duration: 9      Cost: 6600  | ES: 3      EF: 12     LS: 3      LF: 12   A5,A7,A9,A18,A21,A39,A59,A79,A89,A211,A212,A835,
PertVertex = Element: A4     Out Vertices: [A11, A33, A12, A429, A404, A137, A544, A476, A202, A320, A134, A152, A6, A9]  Duration: 1      Cost: 6337  | ES: 3      EF: 4      LS: 11     LF: 12   A6,A9,A11,A12,A33,A134,A137,A152,A202,A320,A404,A429,A476,A544,
PertVertex = Element: A5     Out Vertices: [A550, A572, A806]  Duration: 8      Cost: 4861  | ES: 12     EF: 20     LS: 123    LF: 131  A550,A572,A806,
PertVertex = Element: A6     Out Vertices: [A65, A76, A25, A428, A18, A227, A19, A478, A110, A594, A171, A93, A52]  Duration: 8      Cost: 5452  | ES: 4      EF: 12     LS: 26     LF: 34   A18,A19,A25,A52,A65,A76,A93,A110,A171,A227,A428,A478,A594,
PertVertex = Element: A7     Out Vertices: [A10, A45, A295, A71, A95]  Duration: 9      Cost: 4397  | ES: 12     EF: 21     LS: 43     LF: 52   A10,A45,A71,A95,A295,
PertVertex = Element: A8     Out Vertices: [A12, A13, A25, A58, A48, A28, A214, A40, A367]  Duration: 7      Cost: 6419  | ES: 1      EF: 8      LS: 15     LF: 22   A12,A13,A25,A28,A40,A48,A58,A214,A367,
